route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6,Domingos(Tuvisa-2023-01-30),pse-4e6506ab9f9,hacia Mariturri / Reina Sofía,12:20_L6_1340_1385,1,,shp_3_51,0,0
3,Domingos(Tuvisa2023-06-05),pse-4e666e0ba69,hacia Portal Bergara 25,14:00_L3_1360_1087,1,,shp_3_26,0,0
6,Sabados(Tuvisa2023),pse-4e67012a56a,hacia Iliada / Gabriel Martínez Aragón,15:45_L6_1385_1340,0,,shp_3_56,0,0
B,Sabados(Tuvisa2023),pse-4e6902e5308,hacia Zaramaga/ Boulevard,21:32_LB_1074_1064,0,,shp_3_66,0,0
10,Sabados(Tuvisa-2023-01-30),pse-4e6ffceafa0,hacia Iliada / Bulevar Salburua,15:45_L10_1322_1379,0,,shp_3_70,0,0
E1,CementerioDomingo(Tuvisa-2023-01-30),pse-4e7036285e7,hacia Cementerio,17:00_56,0,,shp_3_67,0,0
5,Laborables(Tuvisa2023-04-14),pse-4e746920093,hacia Bruselas / Portal Elorriaga,19:25_L5A_1192_1338,1,,shp_3_4,0,0
10,Laborables(Tuvisa2023-04-14),pse-4e78235cd0d,hacia Naciones Unidas / Mariturri,14:00_L10_1379_1322,1,,shp_3_47,0,0
5,Domingos(Tuvisa2023-06-05),pse-4e7e50b66fb,hacia Bruselas / Portal Elorriaga,11:15_L5A_1192_1338,1,,shp_3_4,0,0
7,Domingos(Tuvisa2023),pse-4e7fe8ef073,hacia Henry Morton Stanley / Océano Atlántico,16:20_L7_1257_1348,1,,shp_3_43,0,0
10,FiestasBlancaLab(Tuvisa2023-06-05),pse-4e831cea310,hacia Paz,11:20_L10_1379_1302,0,,shp_3_48,0,0
1,DomingosAgosto(Tuvisa2023-06-05),pse-4e83b831713,hacia Catedral,09:20_L1_1309_1012,0,,shp_3_68,0,0
8,SabadosAgosto(Tuvisa2023-06-05),pse-4e85e44829a,hacia Nieves Cano / Unibersitatea,09:40_L8_1022_1031,0,,shp_3_45,0,0
3,DomingosAgostoSINL6L7L10(Tuvisa2023-06-05),pse-4e8671bcc9e,hacia Comandante Izarduy / Zumaquera,14:30_L3_1087_1360,0,,shp_3_73,0,0
10,Laborables(Tuvisa2023),pse-4e869342013,hacia Naciones Unidas / Mariturri,09:50_L10_1379_1322,1,,shp_3_47,0,0
7,Laborables(Tuvisa2023),pse-4e86b7bc51c,hacia Iliada / Bulevar Salburua,06:50_L7_1348_1257,0,,shp_3_35,0,0
1,Laborables(Tuvisa2023),pse-4e9329518c1,hacia Reyes Navarra 19,12:47_L1_1012_1309,0,,shp_3_12,0,0
4,Domingos(Tuvisa2023-04-14),pse-4e93d0ea728,hacia Iruña Veleia / Oyón,14:00_L4_1282_1382,0,,shp_3_38,0,0
7,4deAgosto(Tuvisa2023-06-05),pse-4e9481769a0,hacia Catedral,16:00_L7_1348_1298,0,,shp_3_36,0,0
10,Laborables(Tuvisa-2023-01-30),pse-4e997037564,hacia Naciones Unidas / Mariturri,07:00_L10_1379_1322,1,,shp_3_47,0,0
B,Laborables(Tuvisa2023-06-05),pse-4e9a7cd8de0,hacia Mendizorrotza,17:51_LB_1064_1074,0,,shp_3_78,0,0
8,Sabados(Tuvisa2023-04-14),pse-4e9c50c2eea,hacia Intermodal,21:20_L8_1031_1022,0,,shp_3_61,0,0
10,DomingosAgosto(Tuvisa2023-06-05),pse-4e9cb004e8b,hacia Naciones Unidas / Mariturri,07:20_L10_1379_1322,1,,shp_3_47,0,0
10,Sabados(Tuvisa2023-04-14),pse-4e9e6df84fc,hacia Naciones Unidas / Mariturri,19:50_L10_1379_1322,1,,shp_3_47,0,0
10,DomingosAgosto(Tuvisa2023-06-05),pse-4e9f2be2800,hacia Naciones Unidas / Mariturri,14:00_L10_1379_1322,1,,shp_3_47,0,0
7,Sabados(Tuvisa2023-06-05),pse-4e9f492e8eb,hacia Iliada / Bulevar Salburua,11:15_L7_1348_1257,0,,shp_3_35,0,0
A,LaborablesBEIcargaMendi(Tuvisa-2023-01-30),pse-4ea1e770b22,hacia Mendizorrotza,06:00_LA_1042_1055,0,,shp_3_76,0,0
A,LaborablesBEIcargaMendi(Tuvisa-2023-01-30),pse-4ea335324a9,hacia Zaramaga/ Boulevard,21:17_LA_1055_1042,0,,shp_3_60,0,0
9,Laborables(Tuvisa2023-06-05),pse-4ea39f96582,hacia Comandante Izarduy / Zumaquera,09:50_L9_1114_1360,0,,shp_3_39,0,0
5,Laborables(Tuvisa2023-06-05),pse-4ea3eb8f05f,hacia Bruselas / Portal Elorriaga,14:35_L5B_1205_1338,1,,shp_3_20,0,0
3,Domingos(Tuvisa2023-06-05),pse-4eaaf3752ed,hacia Portal Bergara 25,10:30_L3_1360_1087,1,,shp_3_26,0,0
6,Laborables(Tuvisa2023),pse-4eaf0489217,hacia Iliada / Gabriel Martínez Aragón,08:50_L6_1385_1340,0,,shp_3_56,0,0
